-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 18 19 19 20 -1 -1 -1
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 18 20 24 25 25 26 -1 -1 -1
-1 -1 -1 -1 -1 18 20 -1 -1 -1 18 21 26 24 28 27 22 20 -1 -1
-1 -1 -1 18 19 21 22 19 20 -1 24 25 22 21 22 21 25 26 -1 -1
-1 -1 -1 30 31 31 27 25 26 -1 30 31 27 25 25 25 28 32 -1 -1
-1 -1 -1 -1 -1 -1 24 25 26 -1 -1 -1 30 31 27 25 22 20 -1 -1
-1 -1 -1 -1 -1 -1 30 31 32 -1 -1 -1 -1 -1 24 25 25 26 -1 -1
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 30 27 25 22 20 -1
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 18 21 28 27 26 -1
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 24 25 26 24 26 -1
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 30 27 22 21 26 -1
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 18 21 25 28 32 -1
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 24 25 28 32 -1 -1
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 30 31 32 -1 -1 -1
